# mu
-4.883237519809997096e+00 -1.838770513066815757e-02 4.812137491847869875e+00
3.091645045108929235e+00 -1.858271186519398821e+00 2.550533933160032074e+00
4.267292694199554148e+00 -2.808455651405064590e-01 -3.817238446758631554e+00
-2.520011890117753062e+00 1.851468389025473282e+00 -3.154399943752877800e+00
# sigma0
3.998827399400786131e-01 2.591671174414887369e-01 2.688028632149299102e-01
2.591671174414887369e-01 1.822618433116469649e+00 1.632856251464287201e-01
2.688028632149299102e-01 1.632856251464287201e-01 3.681549059594045881e-01
# sigma1
3.419054340074083043e-01 1.609409613064863021e-01 4.174636822607198650e-02
1.609409613064863021e-01 1.372772722322022743e+00 3.449125022889311110e-01
4.174636822607198650e-02 3.449125022889311110e-01 2.301533728320536154e-01
# sigma2
3.555561415199746111e-01 1.532656018440888834e-01 2.943110546791756765e-01
1.532656018440888834e-01 1.635371842542766130e+00 2.433699199224927390e-01
2.943110546791756765e-01 2.433699199224927390e-01 3.214571414036614394e-01
# sigma3
2.380482257067905727e-01 3.734300467187093853e-01 3.516543246191187327e-02
3.734300467187093853e-01 1.386460197364710822e+00 1.643293848908050359e-01
3.516543246191187327e-02 1.643293848908050359e-01 3.671848662564000110e-01
# pi
2.027071880067253529e-01
4.108250988752799038e-01
6.562780334479099975e-02
3.208399097732035909e-01
