# mu
-3.039977197048378432e+00 1.975812300652346032e+00 -2.947538351372339882e+00
2.897644071703846524e+00 -1.948233128947912229e+00 2.992008880731914733e+00
4.959139940061644047e+00 -6.212963307641335836e-02 -4.786635056216690387e+00
-4.956189715457428591e+00 8.658951727571343251e-03 4.855663288211690798e+00
# sigma0
4.196178428303630747e-01 1.820968298612697933e-01 -7.631353729428763666e-02
1.820968298612697933e-01 1.641405070833804825e+00 3.010978419777229909e-01
-7.631353729428763666e-02 3.010978419777229909e-01 3.632141204717690974e-01
# sigma1
3.740450341000897683e-01 2.613266533265513614e-01 -4.276680959998052645e-02
2.613266533265513614e-01 1.278031341663925291e+00 2.310132586361428042e-01
-4.276680959998052645e-02 2.310132586361428042e-01 4.341606158499065060e-01
# sigma2
5.468714722871619305e-01 1.578512794449219991e-01 3.613540370917363576e-01
1.578512794449219991e-01 1.667951126580739407e+00 1.535274273615377660e-01
3.613540370917363576e-01 1.535274273615377660e-01 3.957818018752480294e-01
# sigma3
6.855001568692439262e-01 -3.705893768733162924e-02 3.853944808411099987e-01
-3.705893768733162924e-02 1.945995082673029453e+00 9.851627683750195652e-02
3.853944808411099987e-01 9.851627683750195652e-02 4.254521789857919067e-01
# pi
3.003913220212963697e-01
3.964190377116194042e-01
1.030785062891020620e-01
2.001111339779821086e-01
